證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4755","三福化","29000","1852300","63.90","64.30","63.60","63.60","-0.3000","28"
"4763","材料-KY","139406","14916700","107.50","108.00","106.50","107.00","-0.5000","165"
"4764","雙鍵","27000","1649800","61.60","61.60","60.70","61.50","-1.5000","23"
"4766","南寶","87026","13342490","151.50","156.00","151.50","156.00","3.0000","65"
"4807","日成-KY","279910","7272985","24.30","26.40","24.30","26.40","2.4000","142"
"4904","遠傳","4771039","309133711","65.30","65.30","64.70","64.70","-0.7000","1375"
"4906","正文","2827755","87044370","30.90","31.00","30.65","30.65","-0.1500","974"
"4912","聯德控股-KY","157343","26726701","172.00","172.00","169.00","169.50","-1.0000","147"
"4915","致伸","2305120","123738209","53.50","54.10","53.10","54.10","0.9000","1400"
"4916","事欣科","124726","2895167","23.15","23.40","23.00","23.40","0.3000","104"
"4919","新唐","12133523","974532046","81.50","81.90","79.60","79.60","-1.9000","7893"
"4927","泰鼎-KY","1325023","79155038","58.90","60.90","58.20","59.90","1.4000","922"
"4930","燦星網","308715","7897228","25.80","25.80","25.45","25.75","0.0000","208"
"4934","太極","1142869","27549136","24.45","24.50","23.85","23.95","-0.5500","633"
"4935","茂林-KY","1992415","206835982","104.50","105.00","103.00","104.00","1.0000","1474"
"4938","和碩","14129246","1052987226","74.10","74.90","74.00","74.70","0.7000","6635"
"4942","嘉彰","723327","32354203","44.15","45.10","44.15","44.85","0.7000","430"
"4943","康控-KY","1687237","129038574","78.00","78.10","75.80","75.80","-1.7000","1332"
"4952","凌通","563433","31824673","57.20","57.20","56.10","56.20","-0.6000","422"
"4956","光鋐","1027757","23760367","23.45","23.55","22.80","22.85","-0.5000","464"
"4958","臻鼎-KY","6463210","665914397","101.00","104.00","101.00","102.50","1.5000","3973"
"4960","誠美材","8833347","103296501","11.80","12.00","11.50","11.55","-0.2500","2274"
"4961","天鈺","6022336","1933474632","323.00","328.00","315.50","315.50","-3.5000","5263"
"4967","十銓","3490500","219243250","63.50","63.80","62.10","62.30","-1.0000","1994"
"4968","立積","1314045","681997798","525.00","531.00","511.00","511.00","-11.0000","1366"
"4976","佳凌","16065903","1470642666","90.30","93.80","89.70","91.60","2.8000","10661"
"4977","眾達-KY","133654","12514423","94.80","95.00","92.50","92.50","-1.5000","127"
"4989","榮科","9713095","459360079","47.30","49.50","45.10","45.30","-1.5000","5493"
"4994","傳奇","72308","4523458","62.40","62.80","62.40","62.50","-0.5000","65"
"4999","鑫禾","183348","9221044","50.50","50.50","50.20","50.40","-0.1000","164"
"5007","三星","57261","3289790","56.80","57.80","56.80","57.80","-0.2000","73"
"5203","訊連","171835","14101512","82.80","82.80","81.60","82.80","0.0000","188"
"5215","科嘉-KY","374378","45504248","120.00","123.00","120.00","122.50","2.5000","314"
"5225","東科-KY","10002","206241","20.70","20.75","20.40","20.70","-0.0500","10"
"5234","達興材料","116015","10219836","88.20","88.50","87.90","87.90","-1.0000","87"
"5243","乙盛-KY","19131530","1263233000","62.40","68.40","61.80","68.40","6.2000","11912"
"5258","虹堡","241424","5305460","22.00","22.10","21.80","21.90","0.0000","117"
"5269","祥碩","689258","1042817470","1530.00","1570.00","1475.00","1475.00","-30.0000","981"
"5283","禾聯碩","46396","5726107","123.50","124.00","123.00","123.50","0.5000","72"
"5284","jpp-KY","33000","1444550","43.90","43.90","43.45","43.45","-0.4000","16"
"5285","界霖","4748845","391405915","80.50","84.20","79.30","82.00","2.2000","3260"
"5288","豐祥-KY","72001","11084653","153.50","155.50","153.00","154.00","0.5000","50"
"5388","中磊","815739","54305552","66.00","66.90","66.00","66.50","0.6000","610"
"5434","崇越","698321","84955170","123.00","123.00","121.00","121.00","-2.0000","556"
"5469","瀚宇博","5614244","260325527","46.30","46.70","46.00","46.60","0.5500","2660"
"5471","松翰","3158500","303764585","97.50","97.50","95.10","96.40","-0.1000","2373"
"5484","慧友","170741","2745405","16.15","16.20","16.00","16.05","0.0000","81"
"5515","建國","419326","5681159","13.55","13.65","13.45","13.60","0.1000","178"
"5519","隆大","813233","17587562","21.80","21.80","21.55","21.60","-0.1500","456"
"5521","工信","1439518","14060152","9.87","9.87","9.72","9.77","-0.0400","494"
"5522","遠雄","1810322","97076764","54.00","54.30","53.10","53.30","-0.7000","794"
"5525","順天","270661","6917988","25.25","25.90","25.25","25.50","0.2500","191"
"5531","鄉林","965654","11608242","12.00","12.10","11.95","12.05","-0.0500","328"
"5533","皇鼎","39432","611435","15.55","15.55","15.50","15.50","-0.1500","32"
"5534","長虹","374564","29603390","79.10","79.30","78.60","79.30","0.2000","188"
"5538","東明-KY","23001","991392","43.70","43.70","42.45","42.70","0.1500","19"
"5546","永固-KY","165070","12501884","75.50","76.50","75.00","76.50","0.2000","109"
"5607","遠雄港","24192237","910222480","34.90","38.35","34.85","38.35","3.4500","9973"
"5608","四維航","29649939","1658199652","52.50","58.00","52.00","58.00","5.2000","16609"
"5706","鳳凰","271312","11301294","42.40","42.40","41.40","41.55","-0.4500","253"
"5871","中租-KY","6057023","1215960583","199.50","202.00","199.50","200.50","0.0000","1598"
"5871A","中租-KY甲特","43310","4311120","99.60","99.60","99.50","99.50","-0.1000","36"
"5876","上海商銀","6462882","286642697","44.50","44.75","44.20","44.25","-0.5500","1474"
"5880","合庫金","25336785","528777807","21.00","21.10","20.80","20.80","-0.3000","5943"
"5906","台南-KY","13000","471250","36.20","36.35","36.10","36.30","0.1000","12"
"5907","大洋-KY","588350","12197100","20.20","21.30","20.20","20.50","0.3500","375"
"6005","群益證","9173604","151264732","16.60","16.70","16.40","16.40","-0.2000","2421"
"6024","群益期","467545","18610439","39.90","40.00","39.75","39.75","-0.2000","349"
"6108","競國","201394","4018586","20.10","20.15","19.80","20.00","0.1500","127"
"6112","聚碩","49436","2060586","41.85","41.85","41.60","41.60","0.1000","52"
"6115","鎰勝","111037","4894433","44.20","44.20","44.00","44.05","-0.1000","80"
"6116","彩晶","399884484","9138451822","22.70","23.50","22.20","22.30","0.1500","101261"
"6117","迎廣","3008","49177","16.35","16.35","16.35","16.35","0.0000","3"
"6120","達運","1193058","16498707","14.15","14.15","13.65","13.65","-0.3500","599"
"6128","上福","64663","1621352","25.15","25.15","25.05","25.10","-0.0500","36"
"6133","金橋","170076","1520821","8.97","9.00","8.87","8.99","-0.0400","81"
"6136","富爾特","102190","1839625","18.00","18.10","17.85","18.10","0.1000","59"
"6139","亞翔","223504","6701318","30.10","30.10","29.85","30.00","0.0000","154"
"6141","柏承","214120","5976107","28.00","28.05","27.75","27.80","-0.1500","141"
"6142","友勁","525410","6319007","12.20","12.20","11.95","12.00","-0.2000","279"
"6152","百一","383484","3947028","10.50","10.65","10.15","10.30","-0.2000","191"
"6153","嘉聯益","5803311","179508367","31.25","31.50","30.60","30.60","-0.5000","3053"
"6155","鈞寶","158100","4183134","26.60","26.70","26.20","26.25","-0.1000","119"
"6164","華興","300787","3101240","10.55","10.55","10.20","10.20","-0.3000","169"
"6165","浪凡","578480","20221174","35.90","35.90","34.60","34.75","-0.8500","397"
"6166","凌華","126259","7765550","61.10","62.40","61.10","61.80","-0.7000","96"
"6168","宏齊","1257711","27993565","22.60","22.60","22.00","22.15","-0.4000","682"
"6172","互億","599566","23939720","41.65","41.65","38.20","40.65","-1.3500","376"
"6176","瑞儀","3187967","376413194","119.00","119.50","117.50","117.50","-1.5000","1629"
"6177","達麗","265139","7962973","30.25","30.30","29.90","30.20","0.0000","146"
"6183","關貿","56233","2837657","51.00","51.00","50.10","50.60","0.5000","67"
"6184","大豐電","25592","1152995","45.05","45.10","45.00","45.00","0.0000","30"
"6189","豐藝","463510","18986794","40.95","41.10","40.85","40.95","0.0000","280"
"6191","精成科","6297034","210132776","33.65","33.80","33.05","33.20","-0.4500","3019"
"6192","巨路","32664","2333328","71.40","71.70","71.20","71.50","0.1000","38"
"6196","帆宣","734653","79647920","110.00","110.00","107.00","107.00","-0.5000","555"
"6197","佳必琪","285288","11306990","39.75","39.80","39.50","39.75","0.2500","211"
"6201","亞弘電","29151","1335996","45.40","46.55","45.40","46.55","0.5500","28"
"6202","盛群","6047651","643359807","110.50","111.00","104.00","106.00","-3.5000","4253"
"6205","詮欣","203510","5978638","29.80","29.80","28.50","29.60","0.0000","159"
"6206","飛捷","96429","6260382","65.10","65.10","64.60","64.90","0.1000","83"
"6209","今國光","767613","26233686","34.25","34.65","33.85","33.85","-0.3500","507"
"6213","聯茂","1489469","204598268","138.00","139.00","136.50","136.50","-1.5000","1167"
"6214","精誠","311353","27774296","89.00","89.50","89.00","89.00","-0.2000","278"
"6215","和椿","1233473","29466838","23.55","24.40","23.30","23.90","0.3500","612"
"6216","居易","42123","1070313","25.35","25.50","25.35","25.45","0.1000","39"
"6224","聚鼎","7101557","928260337","130.50","134.50","126.50","134.50","10.5000","5152"
"6225","天瀚","10248","34155","3.29","3.50","3.29","3.50","-0.1000","7"
"6226","光鼎","545574","4922592","9.12","9.12","8.99","9.01","-0.0400","224"
"6230","尼得科超眾","164299","35275311","208.00","217.50","208.00","212.50","4.5000","190"
"6235","華孚","439171","8132170","18.70","18.75","18.35","18.45","-0.1500","253"
"6239","力成","4084321","441923780","107.50","109.00","107.00","108.00","1.0000","1818"
"6243","迅杰","551115","9236179","17.10","17.20","16.50","16.65","-0.3500","319"
"6251","定穎","2275225","47192359","20.85","21.00","20.60","20.80","-0.1000","1054"
"6257","矽格","5605903","307178800","54.80","55.10","54.50","54.60","0.0000","3245"
"6269","台郡","4986632","592512481","118.50","119.50","118.00","119.50","0.0000","3257"
"6271","同欣電","17576689","3582756453","197.50","211.00","196.50","207.00","10.5000","12013"
"6277","宏正","154668","13075283","85.30","85.80","84.10","84.10","-1.7000","120"
"6278","台表科","11143323","1424958617","129.50","129.50","126.00","127.50","-1.0000","7178"
"6281","全國電","26888","2255464","84.10","84.10","83.40","84.10","0.1000","34"
"6282","康舒","2500871","67601926","27.35","27.35","26.90","27.00","-0.2500","1300"
"6283","淳安","1710527","81100168","47.35","48.20","46.80","47.00","0.0000","1016"
"6285","啟碁","1290005","87937385","68.00","68.60","67.50","68.60","0.7000","873"
"6288","聯嘉","562345","16271575","29.35","29.35","28.70","28.70","-0.3500","336"
"6289","華上","8028","23956","2.95","3.05","2.95","3.05","0.0300","16"
"6405","悅城","1306077","43635739","33.10","34.25","32.20","33.70","0.7000","730"
"6409","旭隼","143334","185673940","1280.00","1305.00","1275.00","1290.00","0.0000","147"
"6412","群電","1327112","98108561","72.50","75.00","71.80","74.90","3.5000","1190"
"6414","樺漢","220618","47652572","216.50","217.50","214.50","215.50","-1.0000","238"
"6415","矽力-KY","488407","1672722515","3510.00","3550.00","3355.00","3355.00","-15.0000","644"
"6416","瑞祺電通","676991","81215783","123.00","123.00","118.50","118.50","-3.0000","574"
"6426","統新","93067","7471410","80.50","80.60","80.00","80.00","-0.5000","81"
"6431","光麗-KY","7003","214188","30.60","30.60","30.50","30.50","0.2000","10"
"6438","迅得","1107848","112348642","103.50","103.50","100.00","100.00","-2.5000","911"
"6442","光聖","24251","821157","32.25","34.35","32.25","33.35","1.0000","19"
"6443","元晶","17545824","596884517","34.10","34.90","33.50","34.25","-0.1500","8523"
"6449","鈺邦","156180","9494117","61.50","61.60","60.40","60.40","-0.8000","139"
"6451","訊芯-KY","1553438","185830413","119.00","121.50","118.00","119.00","2.5000","1059"
"6456","GIS-KY","5094728","552743788","107.50","110.50","106.50","108.50","2.0000","3705"
"6464","台數科","22029","2424161","110.00","110.50","110.00","110.50","0.5000","12"
"6477","安集","4415117","220378714","49.20","51.80","48.75","51.80","1.4000","2688"
"6491","晶碩","702338","420402821","589.00","608.00","585.00","606.00","23.0000","745"
"6504","南六","303279","45848499","152.50","152.50","150.50","151.50","-1.0000","343"
"6505","台塑化","5608552","588099794","107.00","107.00","104.00","104.50","-4.0000","2384"
"6515","穎崴","38862","10905165","281.00","285.00","279.00","280.00","1.0000","84"
"6525","捷敏-KY","211711","17027158","79.60","81.00","79.60","80.10","-0.3000","168"
"6531","愛普","2503218","1710133352","682.00","697.00","671.00","671.00","-4.0000","2434"
"6533","晶心科","2525083","1395656417","557.00","568.00","537.00","541.00","-10.0000","2408"
"6541","泰福-KY","486478","28871913","59.40","59.70","59.10","59.70","0.3000","322"
"6552","易華電","142484","7472697","53.00","53.10","52.10","52.40","-0.4000","127"
"6558","興能高","645013","25815503","40.90","41.00","39.80","39.90","-0.7500","451"
"6573","虹揚-KY","465063","9246807","19.75","20.40","19.20","19.65","0.1000","275"
"6579","研揚","28010","1920492","68.50","68.90","68.30","68.60","0.3000","18"
"6581","鋼聯","97408","7017495","72.80","72.80","71.30","71.30","-1.5000","89"
"6582","申豐","498211","144219932","291.50","293.00","288.00","288.50","-2.5000","562"
"6591","動力-KY","2190882","154688098","68.50","71.80","68.10","71.70","3.3000","1536"
"6592","和潤企業","840987","71334543","85.00","85.10","84.50","84.90","-0.1000","505"
"6598","ABC-KY","717704","36268384","49.90","51.40","49.80","50.00","0.6500","577"
"6605","帝寶","192381","10991386","57.70","57.70","57.00","57.10","-0.5000","181"
"6625","必應","129502","3501728","27.00","27.30","26.95","27.30","0.3000","62"
"6641","基士德-KY","34101","2327068","68.00","68.90","68.00","68.30","0.4000","28"
"6655","科定","20001","1472773","73.50","74.00","73.20","73.20","0.2000","10"
"6666","羅麗芬-KY","8214","632562","77.10","77.10","76.70","76.70","0.0000","19"
"6668","中揚光","3503220","251009121","69.90","73.50","68.50","72.30","3.1000","2443"
"6669","緯穎","1223244","1188852650","982.00","1005.00","961.00","961.00","-15.0000","1028"
"6670","復盛應用","417763","87815158","210.50","213.50","208.00","211.00","1.5000","292"
"6671","三能-KY","57000","2840150","49.50","50.50","49.00","49.80","0.3000","32"
"6672","騰輝電子-KY","11037292","1649931337","150.50","157.50","141.00","142.00","0.0000","7904"
"6674","鋐寶科技","62200","1766010","28.50","28.55","28.10","28.55","0.0500","35"
"6698","旭暉應材","66003","2675520","41.10","41.10","40.30","40.60","-0.1000","50"
"6706","惠特","1740002","310479502","181.00","181.50","176.00","179.50","1.0000","1260"
"6715","嘉基","54102","6175026","113.50","114.50","113.50","114.50","1.0000","34"
"6743","安普新","280540","31677508","114.00","114.00","112.00","112.50","-1.5000","264"
"6754","匯僑設計","97056","4594996","46.80","47.45","46.80","47.30","-0.0500","88"
"6756","威鋒電子","5118626","1761591120","324.50","356.00","322.50","356.00","32.0000","4309"
"6768","志強-KY","172311","12399828","72.60","72.60","71.40","71.80","-1.2000","73"
"6776","展碁國際","325128","15144502","47.75","47.75","46.35","46.40","-0.8500","272"
"6781","AES-KY","396423","320884615","834.00","834.00","792.00","800.00","-33.0000","723"
"8011","台通","930156","16834238","18.05","18.35","17.85","17.90","-0.2000","490"
"8016","矽創","4007205","1156081181","292.00","295.00","284.00","285.00","-6.5000","3460"
"8021","尖點","7792980","318711810","41.60","41.70","40.25","40.50","-0.6000","4272"
"8028","昇陽半導體","547426","25772992","46.80","47.70","46.50","46.65","0.0000","453"
"8033","雷虎","2560424","40347314","15.80","16.15","15.50","15.65","-0.7500","1285"
"8039","台虹","931955","47536300","50.60","51.30","50.60","50.70","-0.4000","654"
"8046","南電","7687119","2764496352","355.50","364.50","351.00","359.50","5.0000","5773"
"8070","長華*","1376199","44532749","32.70","32.75","32.20","32.20","-0.5000","871"
"8072","陞泰","91289","2352388","25.25","26.45","25.20","26.00","0.8500","83"
"8081","致新","845985","196238204","233.50","235.50","230.00","230.00","-3.0000","717"
"8101","華冠","232532","628373","2.59","2.75","2.59","2.70","0.1100","51"
"8103","瀚荃","1779343","73568518","42.25","42.35","40.70","41.10","-1.2500","993"
"8104","錸寶","384754","19301443","49.70","50.50","49.50","50.50","1.2000","286"
"8105","凌巨","2269406","32074226","14.45","14.45","13.90","13.90","-0.4000","990"
"8110","華東","30419569","518659193","16.75","17.40","16.55","17.05","0.6000","10004"
"8112","至上","2856182","113868151","39.65","40.00","39.60","40.00","0.4000","1376"
"8114","振樺電","63569","4469414","70.80","70.80","70.00","70.60","0.1000","65"
"8131","福懋科","399784","16022677","40.10","40.20","39.85","40.10","0.1500","238"
"8150","南茂","7620917","374341452","49.65","50.20","48.25","48.25","-1.4000","4466"
"8163","達方","1342114","58856243","44.25","44.30","43.70","43.70","-0.4500","711"
"8201","無敵","36384","363560","9.99","10.05","9.90","10.05","0.0500","26"
"8210","勤誠","324809","23709445","72.40","74.00","71.90","73.00","1.0000","207"
"8213","志超","2207212","114734543","52.00","52.30","51.60","52.30","0.3000","999"
"8215","明基材","2062180","53506911","26.30","26.35","25.65","25.65","-0.4500","1125"
"8222","寶一","200568","2793467","13.95","14.25","13.70","13.90","0.0000","184"
"8249","菱光","445280","10791116","24.20","24.40","24.05","24.40","0.2500","286"
"8261","富鼎","12526715","930681356","74.20","76.50","72.50","73.70","1.2000","7932"
"8271","宇瞻","830903","38539196","46.90","46.95","46.05","46.10","-0.6000","577"
"8341","日友","164303","34708979","211.50","211.50","210.50","211.00","-1.0000","704"
"8367","建新國際","7332200","315519804","40.50","43.55","40.00","43.55","3.9500","3642"
"8374","羅昇","450734","14038373","31.10","31.20","31.10","31.20","0.1000","242"
"8404","百和興業-KY","1573789","77361613","49.20","50.30","48.40","48.45","-0.1000","1019"
"8411","福貞-KY","652961","9863077","14.60","15.50","14.60","15.40","0.7500","261"
"8422","可寧衛","608117","107073975","177.00","177.00","175.00","176.00","0.0000","569"
"8427","基勝-KY","11419","571075","49.50","50.50","49.50","49.90","-0.6000","15"
"8429","金麗-KY","14113761","220703165","15.50","15.95","15.10","15.95","1.4500","4815"
"8442","威宏-KY","36000","1416450","39.20","39.50","39.00","39.50","0.3000","17"
"8443","阿瘦","60386","714026","11.70","11.95","11.65","11.65","-0.2000","62"
"8454","富邦媒","727089","1122610950","1485.00","1580.00","1485.00","1520.00","55.0000","1540"
"8462","柏文","52290","7593558","145.50","145.50","144.50","144.50","-1.5000","146"
"8463","潤泰材","69000","2573750","37.50","37.60","37.00","37.20","-0.3000","46"
"8464","億豐","341248","134542468","388.00","401.50","388.00","393.00","3.0000","300"
"8466","美吉吉-KY","20000","1160800","57.80","58.60","57.80","58.30","-0.1000","17"
"8467","波力-KY","1000","43150","43.15","43.15","43.15","43.15","1.1500","1"
"8473","山林水","86719","3447266","39.60","39.90","39.50","39.90","0.5000","68"
"8478","東哥遊艇","53080","2981131","56.00","56.60","55.80","56.30","0.2000","47"
"8480","泰昇-KY","4528","502414","111.00","111.00","110.50","110.50","0.0000","11"
"8481","政伸","29000","2384900","82.40","82.70","81.90","82.10","0.0000","20"
"8482","商億-KY","43000","3387800","79.40","80.80","77.60","78.00","-1.8000","29"
"8488","吉源-KY","18000","291250","16.15","16.30","16.15","16.20","-0.2000","13"
"8499","鼎炫-KY","234560","32754493","138.00","143.00","136.50","142.00","4.5000","208"
"8926","台汽電","253798","9811726","38.65","38.75","38.55","38.60","-0.0500","212"
"8940","新天地","37970","456464","11.90","12.10","11.90","12.10","-0.0500","48"
"8996","高力","122869","5659143","46.30","46.30","45.80","46.00","-0.1500","104"
"9103","美德醫療-DR","7278046","165598188","23.05","23.40","22.45","22.45","-1.1500","4007"
"910322","康師傅-DR","44000","1166500","25.60","26.60","25.60","26.50","0.5000","24"
"9105","泰金寶-DR","10702491","50276742","4.70","4.75","4.66","4.67","-0.0700","2548"
"910861","神州-DR","63000","584160","9.30","9.30","9.25","9.29","0.0500","17"
"9110","越南控-DR","444000","1329500","3.00","3.00","2.96","2.99","0.0300","111"
"911608","明輝-DR","157001","609914","3.98","3.98","3.84","3.96","0.0000","46"
"911616","杜康-DR","450249","768904","1.74","1.74","1.70","1.71","-0.0100","177"
"911622","泰聚亨-DR","273000","1628530","5.96","6.19","5.86","5.86","-0.1000","80"
"911868","同方友友-DR","445831","657201","1.48","1.49","1.45","1.47","0.0000","98"
"912000","晨訊科-DR","1194250","3254521","2.76","2.77","2.70","2.74","-0.0200","198"
"912398","友佳-DR","68154","299407","4.49","4.50","4.36","4.44","0.0800","57"
"9136","巨騰-DR","539002","4703678","8.48","8.90","8.45","8.90","0.4100","78"
"9188","精熙-DR","74000","219910","2.97","2.99","2.95","2.97","0.0000","32"
"9802","鈺齊-KY","762916","89269007","118.50","119.00","116.00","117.50","-1.0000","478"
"9902","台火","1293623","18044126","13.75","14.20","13.70","14.10","0.5000","571"
"9904","寶成","14337068","523735827","36.30","37.15","36.25","36.25","-0.1000","5922"
"9905","大華","247756","6577714","26.75","26.75","26.45","26.45","-0.3000","133"
"9906","欣巴巴","56290","2774046","50.30","50.30","49.00","49.60","-0.6000","46"
"9907","統一實","4608623","65523533","14.30","14.40","14.05","14.05","-0.1500","1413"
"9908","大台北","108292","3619415","33.40","33.50","33.35","33.45","0.0000","95"
"9910","豐泰","2019845","466611578","225.00","234.50","223.50","231.00","3.0000","971"
"9911","櫻花","829538","56656964","69.30","69.30","67.50","68.50","-0.9000","788"
"9912","偉聯","87095","794448","9.25","9.25","9.05","9.06","-0.2100","65"
"9914","美利達","626383","194604321","311.00","315.00","308.00","311.00","-1.5000","670"
"9917","中保科","289250","26816400","92.60","93.10","92.50","92.80","-0.3000","242"
"9918","欣天然","27063","1084322","40.05","40.25","39.80","40.25","0.2000","32"
"9919","康那香","1191722","40757489","34.00","34.40","34.00","34.15","-0.0500","795"
"9921","巨大","1110178","350785196","314.50","318.00","313.00","317.00","-0.5000","879"
"9924","福興","169034","7627761","45.30","45.30","44.95","45.15","-0.1500","115"
"9925","新保","149457","5785598","38.75","38.80","38.60","38.80","0.0500","111"
"9926","新海","7284","349223","47.85","48.00","47.80","48.00","0.0000","17"
"9927","泰銘","1001408","34847332","35.40","35.40","34.35","34.80","-0.6500","432"
"9928","中視","40206","221097","5.50","5.50","5.50","5.50","0.0000","14"
"9929","秋雨","31701","369644","11.85","11.85","11.60","11.60","-0.1000","27"
"9930","中聯資源","253736","11696005","46.30","46.30","45.85","46.30","-0.0500","207"
"9931","欣高","19205","759667","39.55","39.60","39.50","39.50","-0.2000","14"
"9933","中鼎","2486750","96081854","38.70","38.75","38.20","38.75","0.0000","758"
"9934","成霖","487097","8163125","16.60","16.90","16.60","16.80","0.0000","153"
"9935","慶豐富","566044","11857160","21.15","21.35","20.75","21.10","-0.1500","285"
"9937","全國","78134","3709779","47.40","47.55","47.35","47.55","-0.4000","65"
"9938","百和","11238904","1144986563","104.50","108.00","100.00","100.00","0.1000","4005"
"9939","宏全","1162716","86915400","74.10","75.30","73.60","74.70","0.4000","803"
"9940","信義","702632","21377188","30.45","30.75","30.15","30.30","-0.3500","417"
"9941","裕融","642667","89054562","138.00","139.00","138.00","138.50","0.0000","415"
"9941A","裕融甲特","10700","547839","51.20","51.20","51.20","51.20","0.0000","4"
"9942","茂順","187641","17179587","91.70","92.20","91.00","91.10","-1.1000","176"
"9943","好樂迪","102555","6536906","63.90","63.90","63.50","63.60","-0.3000","105"
"9944","新麗","368664","7941826","21.50","21.70","21.35","21.70","0.0000","190"
"9945","潤泰新","5209875","279540866","53.20","54.00","53.20","54.00","0.8000","1925"
"9946","三發地產","93812","1391030","14.95","14.95","14.75","14.80","-0.1000","68"
"9955","佳龍","477897","9071680","19.30","19.35","18.65","18.80","-0.6000","294"
"9958","世紀鋼","6653426","884039945","134.00","135.00","131.00","132.50","0.0000","4148"
